Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,171.5679931640625,172.77899298538057,170.52403658955419,172.36141035557725,121465900
2015-01-05,168.4696044921875,170.68278821688406,168.16059730063776,170.5157576469549,169632600
2015-01-06,166.8827667236328,169.3047414368141,166.08100228258024,168.77858312413545,209151400
2015-01-07,168.9622802734375,169.3047010855894,167.76800007873612,168.21898370810877,125346700
2015-01-08,171.96055603027344,172.17770719683762,170.36539975255417,170.38209388566446,147217800
2015-01-09,170.58251953125,172.39482677745264,169.96449259616608,172.3781199025553,158567300
2015-01-12,169.24630737304688,170.8748905228741,168.63664004018133,170.71620701649167,144396100
2015-01-13,168.77023315429688,171.609790544605,167.45901730037048,170.47396503975912,214553300
2015-01-14,167.75132751464844,167.95177180403775,165.8388043015592,166.74077174477856,192991100
2015-01-15,166.21463012695312,168.71176664700602,166.09770747461232,168.39441244414573,176613900
2015-01-16,168.3944091796875,168.55309264984808,165.82209813444274,166.0058355479326,211879600
2015-01-20,168.7535400390625,169.30475233127984,167.1750777430687,169.03749325252684,130991100
2015-01-21,169.60537719726562,170.0897746191889,167.8181238960509,168.28581444311845,122942700
2015-01-22,172.12759399414062,172.26121077296136,168.9790168687212,170.36539449083946,174356000
2015-01-23,171.1838836669922,172.12762481569922,171.05025412063077,171.86871279076834,117516800
2015-01-26,171.5847625732422,171.6766312950258,170.24850531702558,170.9667482118025,92009700
2015-01-27,169.3214569091797,170.4739766257044,168.4862914148447,169.5135414046648,134044600
2015-01-28,167.1499786376953,170.61590945242185,166.95789419149688,170.51569369677236,168514300
2015-01-29,168.69509887695312,168.95399816591006,165.93069012242555,167.35048179309248,173585400
2015-01-30,166.5737762451172,168.84542769488593,166.30652987999977,167.50917038206742,197729700
2015-02-02,168.63661193847656,168.7284806508828,165.24584213375974,167.07485657118428,163107000
2015-02-03,171.07530212402344,171.08366193513993,169.16277868967944,169.53860062510086,124212900
2015-02-04,170.423828125,171.52625243176206,169.96448466384916,170.30690549339897,134306700
2015-02-05,172.14431762695312,172.2946540513569,171.01685179019157,171.09201363058602,97953200
2015-02-06,171.6682891845703,173.07972106745336,171.14213078610456,172.51180184085902,125672000
2015-02-09,170.8999481201172,171.74346082451612,170.4907123709011,171.01687079937662,87219000
2015-02-10,172.7205352783203,172.97943448477727,170.94162909463557,171.94383765894943,96164200
2015-02-11,172.82080078125,173.2550904345492,171.90212632435026,172.5535544324916,91087800
2015-02-12,174.48277282714844,174.54124052844537,172.85420266863906,173.62255339102262,97545900
2015-02-13,175.20106506347656,175.2511729680814,174.3491924543416,174.6081045341626,93670400
2015-02-17,175.4766082763672,175.65199862312664,174.63309578328025,174.8836352163465,76968200
2015-02-18,175.4933624267578,175.56852427692448,174.83357442565094,175.1008335510655,80652900
2015-02-19,175.36798095703125,175.73545567526918,174.74996687963957,174.8919434310298,91462500
2015-02-20,176.42034912109375,176.49551095094324,174.32407574657307,174.95044981587836,140896400
2015-02-23,176.3953399658203,176.3953399658203,175.7856598748264,176.16984167540315,74411100
2015-02-24,176.89639282226562,177.0968371189826,176.01946654659753,176.32012661986622,72472300
2015-02-25,176.74610900878906,177.25556056048336,176.40368803687954,176.77116295857596,73061700
2015-02-26,176.53729248046875,176.8128986325279,175.92761247275558,176.65421514404403,72697900
2015-02-27,175.9359588623047,176.70430955627208,175.88585097368278,176.4370504921372,108076000
2015-03-02,177.04669189453125,177.10514683732143,175.9860284231188,176.03613630082774,87491400
2015-03-03,176.32009887695312,177.09680925385877,175.45153254840372,176.61241183738665,110325800
2015-03-04,175.57679748535156,175.79394861930544,174.59965561339254,175.71877405714616,114497200
2015-03-05,175.76895141601562,176.05290465126174,175.25949990872573,175.90256822202744,76873000
2015-03-06,173.296875,175.33468125584614,172.96281383238644,174.90039154305515,188128000
2015-03-09,174.01504516601562,174.3741601337539,173.33856330130953,173.49724674979345,89818900
2015-03-10,171.19223022460938,172.7205847045743,171.150469398544,172.63707579605847,157121300
2015-03-11,170.7913055419922,171.62647085026597,170.7077839137203,171.45108052833953,110145700
2015-03-12,172.96278381347656,173.02958584051197,171.37596168367457,171.42606957575836,93993500
2015-03-13,171.90206909179688,173.6559085130229,170.85811250406329,172.68712648475025,162410900
2015-03-16,174.19882202148438,174.29069073649381,171.9271708354456,172.63706660993805,136099200
2015-03-17,173.68101501464844,174.06518399058984,172.8625436868168,173.4555167717876,94510400
2015-03-18,175.76895141601562,176.44543348853176,172.5619059430419,173.2049869999589,228808500
2015-03-19,174.96714782714844,175.77725926855788,174.57461907745056,175.35132951071256,117917300
2015-03-20,176.51156616210938,177.02329165623516,175.73978575794388,175.9243433329071,177715100
2015-03-23,176.16761779785156,177.09879000394582,176.16761779785156,176.51995149738752,71784500
2015-03-24,175.17771911621094,176.50315937220134,175.11060611076255,176.04177826055127,77805300
2015-03-25,172.61070251464844,175.62233956889628,172.56876808476972,175.38745043938636,159521700
2015-03-26,172.19964599609375,173.12242102468215,171.23491093832322,171.9395910989416,153067200
2015-03-27,172.59396362304688,172.77012410030568,171.88928331251248,172.0822380454146,118939000
2015-03-30,174.69956970214844,175.00157187127655,173.61740272973037,173.63417138321057,96180400
2015-03-31,173.17276000976562,174.57372326508263,173.1140441274845,173.86904307422634,126768700
2015-04-01,172.56036376953125,173.16436802039325,171.56207861045388,173.13920224331542,137303600
2015-04-02,173.18118286132812,173.63417973656405,172.30872641943006,172.4932840205816,86900900
2015-04-06,174.34722900390625,174.86733885198038,172.14933223894963,172.2835454639215,114368200
2015-04-07,173.88583374023438,175.1273924652956,173.8522836343671,174.3723934785485,81236300
2015-04-08,174.4730682373047,174.9176807725751,173.71806920018486,174.11235017304716,89351900
2015-04-09,175.24481201171875,175.4797011207424,173.81031158164546,174.30525557562413,85548900
2015-04-10,176.201171875,176.24311910694954,175.2951782274796,175.49650446004057,72722900
2015-04-13,175.40423583984375,176.69613897600493,175.35390427878528,176.05857173460117,74436600
2015-04-14,175.73977661132812,175.92433417668582,174.57371533956655,175.20288536678675,75099900
2015-04-15,176.5283660888672,177.04009167365342,176.12570076328947,176.20959523968062,99529300
2015-04-16,176.47802734375,176.98975290771818,175.99146756157538,176.1928066164233,68934900
2015-04-17,174.4478759765625,175.52165847994243,173.65931415053413,175.27838503173015,191113200
2015-04-20,176.0418243408203,176.3773766553986,175.29520956045837,175.3790912388528,92189500
2015-04-21,175.8321075439453,176.88910889499172,175.53010532928906,176.72971705940918,72559800
2015-04-22,176.6961212158203,176.8806787881501,175.2448264151816,176.17599860266472,78264600
2015-04-23,177.14076232910156,177.79509826386274,176.17602708133865,176.2934716644881,102585900
2015-04-24,177.55181884765625,177.82027093411085,177.0988219523892,177.56021597567047,61327400
2015-04-27,176.81356811523438,178.24806868215603,176.6206134140246,178.1222397904954,79358100
2015-04-28,177.37562561035156,177.42595716714203,175.60555999373273,176.78840278029978,86863500
2015-04-29,176.64581298828125,177.24980454053795,175.83208525749905,176.47802404546087,125684900
2015-04-30,174.87571716308594,176.46122511692684,174.1710370054368,176.06694420984235,161304900
2015-05-01,176.77162170410156,176.81356893501547,175.5636131365682,175.66427625036343,103399700
2015-05-04,177.2749786376953,177.86220152121385,177.0904210456611,177.19946849513673,70927200
2015-05-05,175.24481201171875,177.3923896950008,175.10220168127555,177.03165890582392,113326200
2015-05-06,174.5233917236328,176.10889986861423,173.4496091069522,175.79851338112798,135060200
2015-05-07,175.2196807861328,175.64752466232233,174.08718224442282,174.4227345233371,88244900
2015-05-08,177.52667236328125,177.72801145000946,176.82200476048462,176.9058992467467,155877300
2015-05-11,176.6793670654297,177.75314976100591,176.60386971976402,177.48471048736158,75708100
2015-05-12,176.15078735351562,176.69607560391154,175.00989211021093,175.8404009713095,119727600
2015-05-13,176.18443298339844,177.1911027177423,175.94954380540153,176.56193253371487,94667900
2015-05-14,178.0215301513672,178.11380891463386,176.9309664401685,177.20780272996853,95934000
2015-05-15,178.21456909179688,178.3571794762669,177.72800923863375,178.21456909179688,76510100
2015-05-18,178.76820373535156,179.0198615361754,177.97964182477418,178.04675483849337,74549700
2015-05-19,178.70948791503906,179.16249759013516,178.4242671865708,178.88566118879854,72114600
2015-05-20,178.5836639404297,179.33866301912042,178.26488029362704,178.81015598373705,76857500
2015-05-21,179.10374450683594,179.3134678610594,178.27323541593185,178.44102433970878,64764600
2015-05-22,178.6759033203125,179.137284432991,178.60879031471453,178.71783774837638,57433500
2015-05-26,176.75485229492188,178.60881250345636,176.335405558199,178.18096863967997,124308600
2015-05-27,178.43264770507812,178.6675368647441,176.8051922413215,177.21625467098656,93214000
2015-05-28,178.2312774658203,178.34032489128802,177.53499448562124,178.12221723985658,74974600
2015-05-29,177.1239776611328,178.20614467191479,176.8555383904463,178.16421023622888,124919600
2015-06-01,177.4846649169922,178.13060355361515,176.6877060268145,177.79505134759015,93338800
2015-06-02,177.30848693847656,178.00476990779666,176.39409632113285,177.02326629094665,91531000
2015-06-03,177.7783203125,178.40749047759257,177.28337618808044,177.8454333328365,87820900
2015-06-04,176.2767333984375,177.7280158833635,175.95794970329126,177.0652955071666,151882800
2015-06-05,175.97467041015625,176.65417200954332,175.31193746224983,176.12566507646568,121704700
2015-06-08,174.89247131347656,176.0165980620127,174.8169739887192,175.8655906120021,89063300
2015-06-09,174.86732482910156,175.41261321365985,174.22977045999207,174.86732482910156,105034700
2015-06-10,176.964599609375,177.3504962915973,175.58043031108906,175.6391462059162,134551300
2015-06-11,177.53506469726562,177.92094860244583,177.17433377668303,177.40922297127125,73876400
2015-06-12,176.176025390625,177.40919990210955,175.8991889900367,176.70453240997534,135382400
2015-06-15,175.42103576660156,175.70625650963413,174.3136901047103,175.0267547627918,124384200
2015-06-16,176.3773651123047,176.4612595857089,175.0938590323169,175.27001950576653,85308200
2015-06-17,176.66256713867188,177.27496856859182,175.63073178763267,176.66256713867188,126708600
2015-06-18,178.49972534179688,178.9695035680142,176.69610976603468,177.2665510977281,165867900
2015-06-19,177.70738220214844,178.33118771672724,177.32804639930612,178.25532312871178,130478700
2015-06-22,178.6177978515625,179.20787720291457,178.4070543073107,178.63466093667688,70696000
2015-06-23,178.74420166015625,179.08139897849242,178.34801571310027,178.8285042054309,68476800
2015-06-24,177.44601440429688,178.85377934083758,177.4207262151129,178.47444364031657,92307300
2015-06-25,176.906494140625,178.07822728731873,176.83062958055913,177.9517863538756,97107400
2015-06-26,176.872802734375,177.51345831436976,176.31643683285327,177.26898866244574,104174800
2015-06-29,173.16372680664062,176.8812454327178,173.08786222964227,175.3807526614112,202621300
